company_name,a_code,h_code,status,source
光大银行,601818,06818,active,validated_202_snapshot_2026-07-30
美凯龙,601828,01528,active,validated_202_snapshot_2026-07-30
中国石油,601857,00857,active,validated_202_snapshot_2026-07-30
福莱特,601865,06865,active,validated_202_snapshot_2026-07-30
中远海发,601866,02866,active,validated_202_snapshot_2026-07-30
中国能建,601868,03996,active,validated_202_snapshot_2026-07-30
长飞光纤,601869,06869,active,validated_202_snapshot_2026-07-30
辽港股份,601880,02880,active,validated_202_snapshot_2026-07-30
中国银河,601881,06881,active,validated_202_snapshot_2026-07-30
中国中免,601888,01880,active,validated_202_snapshot_2026-07-30
中煤能源,601898,01898,active,validated_202_snapshot_2026-07-30
紫金矿业,601899,02899,active,validated_202_snapshot_2026-07-30
浙商银行,601916,02016,active,validated_202_snapshot_2026-07-30
中远海控,601919,01919,active,validated_202_snapshot_2026-07-30
建设银行,601939,00939,active,validated_202_snapshot_2026-07-30
重庆银行,601963,01963,active,validated_202_snapshot_2026-07-30
中国银行,601988,03988,active,validated_202_snapshot_2026-07-30
大唐发电,601991,00991,active,validated_202_snapshot_2026-07-30
金隅集团,601992,02009,active,validated_202_snapshot_2026-07-30
中金公司,601995,03908,active,validated_202_snapshot_2026-07-30
中信银行,601998,00998,active,validated_202_snapshot_2026-07-30
剑桥科技,603083,06166,active,validated_202_snapshot_2026-07-30
南华期货,603093,02691,active,validated_202_snapshot_2026-07-30
昭衍新药,603127,06127,active,validated_202_snapshot_2026-07-30
药明康德,603259,02359,active,validated_202_snapshot_2026-07-30
海天味业,603288,03288,active,validated_202_snapshot_2026-07-30
华勤技术,603296,03296,active,validated_202_snapshot_2026-07-30
龙旗科技,603341,09611,active,validated_202_snapshot_2026-07-30
安井食品,603345,02648,active,validated_202_snapshot_2026-07-30
豪威集团,603501,00501,active,validated_202_snapshot_2026-07-30
龙蟠科技,603906,02465,active,validated_202_snapshot_2026-07-30
兆易创新,603986,03986,active,validated_202_snapshot_2026-07-30
洛阳钼业,603993,03993,active,validated_202_snapshot_2026-07-30
安德利,605198,02218,active,validated_202_snapshot_2026-07-30
东鹏饮料,605499,09980,active,validated_202_snapshot_2026-07-30
澜起科技,688008,06809,active,validated_202_snapshot_2026-07-30
中国通号,688009,03969,active,validated_202_snapshot_2026-07-30
纳芯微,688052,02676,active,validated_202_snapshot_2026-07-30
迈威生物-U,688062,02493,active,validated_202_snapshot_2026-07-30
君实生物-U,688180,01877,active,validated_202_snapshot_2026-07-30
康希诺,688185,06185,active,validated_202_snapshot_2026-07-30
时代电气,688187,03898,active,validated_202_snapshot_2026-07-30
天岳先进,688234,02631,active,validated_202_snapshot_2026-07-30
百济神州,688235,06160,active,validated_202_snapshot_2026-07-30
春立医疗,688236,01858,active,validated_202_snapshot_2026-07-30
晶合集成,688249,02249,active,validated_202_snapshot_2026-07-30
峰岹科技,688279,01304,active,validated_202_snapshot_2026-07-30
荣昌生物,688331,09995,active,validated_202_snapshot_2026-07-30
普源精电,688337,00537,active,validated_202_snapshot_2026-07-30
亿华通-U,688339,02402,active,validated_202_snapshot_2026-07-30
华虹宏力,688347,01347,active,validated_202_snapshot_2026-07-30
昊海生科,688366,06826,active,validated_202_snapshot_2026-07-30
复旦微电,688385,01385,active,validated_202_snapshot_2026-07-30
诺诚健华,688428,09969,active,validated_202_snapshot_2026-07-30
复旦张江,688505,01349,active,validated_202_snapshot_2026-07-30
芯碁微装,688630,09630,active,validated_202_snapshot_2026-07-30
百奥赛图,688796,02315,active,validated_202_snapshot_2026-07-30
中芯国际,688981,00981,active,validated_202_snapshot_2026-07-30
中际旭创,300308,03308,active,validated_202_snapshot_2026-07-30
