company_id,company_name,a_code,h_code,a_exchange,a_ticker,h_ticker,industry,status,source,updated_at
AH_603083_06166,剑桥科技,603083,06166,SH,603083.SS,06166.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601588_00588,北辰实业,601588,00588,SH,601588.SS,00588.HK,房地产与公用,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603296_03296,华勤技术,603296,03296,SH,603296.SS,03296.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600801_06655,华新建材,600801,06655,SH,600801.SS,06655.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601688_06886,华泰证券,601688,06886,SH,601688.SS,06886.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600027_01071,华电国际,600027,01071,SH,600027.SS,01071.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600011_00902,华能国际,600011,00902,SH,600011.SS,00902.HK,能源电力,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688347_01347,华虹宏力,688347,01347,SH,688347.SS,01347.HK,科技电子,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600775_00553,南京熊猫,600775,00553,SH,600775.SS,00553.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_603093_02691,南华期货,603093,02691,SH,603093.SS,02691.HK,证券与金融,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_600029_01055,南方航空,600029,01055,SH,600029.SS,01055.HK,交通运输,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_301087_01187,可孚医疗,301087,01187,SZ,301087.SZ,01187.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002803_02603,吉宏股份,002803,02603,SZ,002803.SZ,02603.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_688180_01877,君实生物-U,688180,01877,SH,688180.SS,01877.HK,医药医疗,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_601107_00107,四川成渝,601107,00107,SH,601107.SS,00107.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_002768_02768,国恩股份,002768,02768,SZ,002768.SZ,02768.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
AH_300077_02701,国民技术,300077,02701,SZ,300077.SZ,02701.HK,综合,active,validated_202_snapshot_2026-07-30,2026-08-07T07:22:12.111153+00:00
